Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
894,07/05/2025,319,0319 - CANECA MAGGIE 400ML MAE,1,ZONA CRIATIVA," R$  35,90 "," R$  4,10 "," R$  77,90 ",Dinheiro
893,07/05/2025,64,0064 - NECESSAIRE MINNIE,1,MINAS DE PRESENTES LTDA," R$  21,68 "," R$  12,80 "," R$  51,20 ",Dinheiro
892,06/05/2025,440,0440 - CANECA MINI TINA 100ML FRASES,1,ZONA CRIATIVA," R$  14,90 ", R$  -   ," R$  35,00 ",Cartão de Crédito
891,06/05/2025,322,0322 - CANECA 350ML C/INFUSOR MAE,1,ZONA CRIATIVA," R$  35,90 ", R$  -   ," R$  84,00 ",Cartão de Débito
890,06/05/2025,61,0061 - PESCOCEIRA SPORT FLUMINENSE,1,MINAS DE PRESENTES LTDA," R$  16,26 "," R$  34,50 "," R$  34,50 ",PIX
889,05/05/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  39,00 ",PIX
888,05/05/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Crédito
888,05/05/2025,609,"0609 - GARRAFA WHEY 1,8LT LEMBRE-SE",1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  65,00 ",Cartão de Crédito
888,05/05/2025,642,0642 - ESTOJO ESCOLAR MINI,1,AP BRAS OU MERCADO LIVRE," R$  7,00 ", R$  -   ," R$  19,00 ",Cartão de Crédito
887,05/05/2025,292,0292 - CANECA TINA 400ML TODOS OS DIAS,1,ZONA CRIATIVA," R$  19,50 ", R$  -   ," R$  64,00 ",PIX
886,03/05/2025,120,0120 - KIT CORTADOR DE UNHA 7PCS,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  11,99 "," R$  7,20 "," R$  30,87 ",Cartão de Crédito
886,03/05/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 "," R$  7,20 "," R$  12,43 ",Cartão de Crédito
885,03/05/2025,552,0552 - LUMIN N S FATIMA USB,1,USARE LUMINÁRIAS," R$  36,90 "," R$  8,90 "," R$  80,10 ",Cartão de Crédito
884,02/05/2025,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Cartão de Crédito
883,02/05/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Crédito
882,02/05/2025,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",Dinheiro
881,02/05/2025,C7,C7 - CANETA LED OU MARCA TEXTO 3 PONTAS,1,AP BRAS OU MERCADO LIVRE," R$  5,00 ", R$  -   ," R$  19,00 ",Dinheiro
880,02/05/2025,197,0197 - CACHORRO OCULOS LED LUMIN,1,MINAS DE PRESENTES LTDA," R$  12,00 ", R$  -   ," R$  34,00 ",Cartão de Crédito
879,30/04/2025,628,0628 - CANECA STITCH BOCAO,1,ZONA CRIATIVA," R$  41,00 ", R$  -   ," R$  96,00 ",Cartão de Crédito
878,30/04/2025,577,0577 - KIT 5PCS XÍCARA EMPILHÁVEL DIVERSOS,1,NEO PORCELANAS LTDA," R$  49,90 "," R$  12,90 "," R$  116,10 ",Cartão de Débito
877,30/04/2025,654,0654 - CANECA 350ML C/INFUSOR VIAGEM,1,ZONA CRIATIVA," R$  35,90 "," R$  4,20 "," R$  79,80 ",PIX
876,30/04/2025,386,0386 - CANECA CERÂMICA SOCO HULK,1,CRAZY MUGS," R$  24,90 "," R$  6,90 "," R$  62,10 ",Cartão de Crédito
875,30/04/2025,595,0595 - COPO INCAN 500ML MARVEL COFRE,1,ZONA CRIATIVA," R$  19,90 ", R$  -   ," R$  79,00 ",Cartão de Crédito
875,30/04/2025,623,0623 - GARRAFA TERMICA ADULTO + 500ML CANUDO,1,AP BRAS OU MERCADO LIVRE," R$  33,00 ", R$  -   ," R$  94,00 ",Cartão de Crédito
874,30/04/2025,360,0360 - CADERNO PELUCIA,1,AP BRAS OU MERCADO LIVRE," R$  15,00 ", R$  -   ," R$  42,00 ",PIX
874,30/04/2025,C2,C2 - CANETA FOFA PERSO / CHOC,1,AP BRAS OU MERCADO LIVRE," R$  2,50 ", R$  -   ," R$  12,00 ",PIX
873,30/04/2025,580,0580 - CANECA COM TAMPA 500ML NEO,1,NEO PORCELANAS LTDA," R$  19,90 "," R$  3,20 "," R$  60,80 ",Dinheiro
872,29/04/2025,229,0229 - ABRIDOR FORMATO TAMPA TEMAS,1,BRASFOOT," R$  7,99 ", R$  -   ," R$  22,00 ",Cartão de Crédito
872,29/04/2025,440,0440 - CANECA MINI TINA 100ML FRASES,1,ZONA CRIATIVA," R$  14,90 ", R$  -   ," R$  35,00 ",Cartão de Crédito
872,29/04/2025,293,0293 - CANECA MINI TINA 100ML PERSONAGEM,1,ZONA CRIATIVA," R$  16,90 ", R$  -   ," R$  39,00 ",Cartão de Crédito
871,28/04/2025,C5,C5 - CANETA LAPIS INFINITO PERSONAGENS,2,AP BRAS OU MERCADO LIVRE," R$  8,00 "," R$  2,00 "," R$  25,70 ",PIX
871,28/04/2025,C6,C6 - CANETA FOFA LUXO / APAGAVEL,1,AP BRAS OU MERCADO LIVRE," R$  3,50 "," R$  2,00 "," R$  13,80 ",PIX
870,26/04/2025,357,0357 - BLOCO PERFUMADO CHOCOLATE,1,AP BRAS OU MERCADO LIVRE," R$  7,50 ", R$  -   ," R$  22,00 ",Cartão de Crédito
869,26/04/2025,575,0575 - XÍCARA CONICA DECORADA 120ML NEO,1,NEO PORCELANAS LTDA," R$  8,50 ", R$  -   ," R$  32,00 ",Cartão de Crédito
